gf_verbatim,gf,is_woody,substrate,other,is_useless
aquatic,,,,,0
arborescent fern,,,,,0
cespitose palm,,,,,0
climber,,,,,0
epiphyte,,,,,0
forb,,,,,0
grass,,,,,0
hemiepiphyte,,,,,0
hemiepiphytic tree,,,,,0
hemiepiphytic treelet,,,,,0
herb,,,,,0
liana,,,,,0
lianescent tree,,,,,0
lianescent treelet,,,,,0
lianescent tree or shrub,,,,,0
myco-heterotroph,,,,,0
palmoid tree or shrub,,,,,0
parasitic,,,,,0
shrub,,,,,0
shrublet,,,,,0
shrub or treelet,,,,,0
solitary palm,,,,,0
succulent tree,,,,,0
succulent treeleet,,,,,0
succulent treelet,,,,,0
tree,,,,,0
tree or shrub,,,,,0
vine,,,,,0
woody bamboo,,,,,0
